192.168.1.152 - - [12/Sep/2022:12:43:51 +0100] "GET /repository/maven-public/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 200 - 1206 493 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-108]
192.168.1.152 - - [12/Sep/2022:12:43:51 +0100] "GET /repository/maven-public/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.sha1 HTTP/1.1" 200 - 40 61 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-102]
192.168.1.152 - - [12/Sep/2022:12:44:15 +0100] "GET /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 200 - 1206 316 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-103]
192.168.1.152 - - [12/Sep/2022:12:44:15 +0100] "GET /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.sha1 HTTP/1.1" 200 - 40 75 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:16 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-javadoc.jar HTTP/1.1" 201 1388166 0 538 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:16 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-javadoc.jar.sha1 HTTP/1.1" 201 40 0 141 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:16 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-javadoc.jar.md5 HTTP/1.1" 201 32 0 82 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:16 +0100] "GET /repository/maven-snapshots/com/backpackcloud/zipper/maven-metadata.xml HTTP/1.1" 200 - 283 89 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "GET /repository/maven-snapshots/com/backpackcloud/zipper/maven-metadata.xml.sha1 HTTP/1.1" 200 - 40 97 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 201 1206 0 370 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.sha1 HTTP/1.1" 201 40 0 114 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.md5 HTTP/1.1" 201 32 0 95 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/maven-metadata.xml HTTP/1.1" 201 283 0 74 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:17 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/maven-metadata.xml.sha1 HTTP/1.1" 201 40 0 63 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:18 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/maven-metadata.xml.md5 HTTP/1.1" 201 32 0 155 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:18 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.jar HTTP/1.1" 201 362247 0 125 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:18 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.jar.sha1 HTTP/1.1" 201 40 0 158 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:18 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.jar.md5 HTTP/1.1" 201 32 0 126 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:19 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.pom HTTP/1.1" 201 7252 0 252 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:19 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.pom.sha1 HTTP/1.1" 201 40 0 129 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:19 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18.pom.md5 HTTP/1.1" 201 32 0 136 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:19 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 201 1206 0 209 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:20 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.sha1 HTTP/1.1" 201 40 0 143 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:20 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.md5 HTTP/1.1" 201 32 0 138 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:20 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-sources.jar HTTP/1.1" 201 254762 0 219 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:20 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-sources.jar.sha1 HTTP/1.1" 201 40 0 138 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-107]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:20 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/zipper-1.0.0-20220912.114415-18-sources.jar.md5 HTTP/1.1" 201 32 0 120 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-104]
192.168.1.152 - ataxexe [12/Sep/2022:12:44:21 +0100] "PUT /repository/maven-snapshots/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 201 1206 0 181 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-109]
