192.168.1.152 - - [14/Sep/2022:12:24:51 +0100] "GET /repository/maven-public/com/aayushatharva/brotli4j/native-linux-x86_64/1.7.1/native-linux-x86_64-1.7.1.pom HTTP/1.1" 200 - 2982 593 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-101]
192.168.1.152 - - [14/Sep/2022:12:24:52 +0100] "GET /repository/maven-public/com/aayushatharva/brotli4j/native-linux-x86_64/1.7.1/native-linux-x86_64-1.7.1.pom.sha1 HTTP/1.1" 200 - 40 119 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-96]
192.168.1.152 - - [14/Sep/2022:12:24:58 +0100] "GET /repository/maven-public/com/aayushatharva/brotli4j/native-linux-x86_64/1.7.1/native-linux-x86_64-1.7.1.jar HTTP/1.1" 200 - 448254 162 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-98]
192.168.1.152 - - [14/Sep/2022:12:24:58 +0100] "GET /repository/maven-public/com/aayushatharva/brotli4j/native-linux-x86_64/1.7.1/native-linux-x86_64-1.7.1.jar.sha1 HTTP/1.1" 200 - 40 48 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-100]
192.168.1.152 - - [14/Sep/2022:12:25:08 +0100] "GET /repository/maven-public/com/backpackcloud/sherlog-holmes/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 404 - 1854 211 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-99]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-vertx-deployment/2.11.2.Final/quarkus-vertx-deployment-2.11.2.Final.pom HTTP/1.1" 200 - 2644 100 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-103]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-vertx-deployment/2.11.2.Final/quarkus-vertx-deployment-2.11.2.Final.pom.sha1 HTTP/1.1" 200 - 40 44 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-100]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-netty-deployment/2.11.2.Final/quarkus-netty-deployment-2.11.2.Final.pom HTTP/1.1" 200 - 1491 60 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-99]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-netty-deployment/2.11.2.Final/quarkus-netty-deployment-2.11.2.Final.pom.sha1 HTTP/1.1" 200 - 40 40 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-103]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-mutiny-deployment/2.11.2.Final/quarkus-mutiny-deployment-2.11.2.Final.pom HTTP/1.1" 200 - 1990 37 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-100]
192.168.1.152 - - [14/Sep/2022:12:25:12 +0100] "GET /repository/maven-public/io/quarkus/quarkus-mutiny-deployment/2.11.2.Final/quarkus-mutiny-deployment-2.11.2.Final.pom.sha1 HTTP/1.1" 200 - 40 51 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp16175117-99]
