192.168.1.152 - - [24/Sep/2022:15:24:24 +0100] "GET /repository/maven-public/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 200 - 1206 652 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-109]
192.168.1.152 - - [24/Sep/2022:15:24:24 +0100] "GET /repository/maven-public/com/backpackcloud/zipper/1.0.0-SNAPSHOT/maven-metadata.xml.sha1 HTTP/1.1" 200 - 40 178 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:15:35:31 +0100] "GET /repository/maven-public/com/backpackcloud/sherlog-holmes/1.0.0-SNAPSHOT/maven-metadata.xml HTTP/1.1" 404 - 1854 369 "Apache-Maven/3.6.3 (Java 17; Linux 5.10.102.1-microsoft-standard-WSL2)" [qtp25968142-109]
192.168.1.152 - - [24/Sep/2022:22:22:13 +0100] "GET /repository/maven-public/io/quarkus/quarkus-universe-bom/1.12.2.Final/quarkus-universe-bom-1.12.2.Final.pom HTTP/1.1" 200 - 562136 1258 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-113]
192.168.1.152 - - [24/Sep/2022:22:22:13 +0100] "GET /repository/maven-public/io/quarkus/quarkus-universe-bom/1.12.2.Final/quarkus-universe-bom-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 249 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-106]
192.168.1.152 - - [24/Sep/2022:22:22:13 +0100] "GET /repository/maven-public/io/quarkus/quarkus-core/1.12.2.Final/quarkus-core-1.12.2.Final.pom HTTP/1.1" 200 - 10617 311 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:13 +0100] "GET /repository/maven-public/io/quarkus/quarkus-core/1.12.2.Final/quarkus-core-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 207 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:14 +0100] "GET /repository/maven-public/io/quarkus/quarkus-core-parent/1.12.2.Final/quarkus-core-parent-1.12.2.Final.pom HTTP/1.1" 200 - 1251 317 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:14 +0100] "GET /repository/maven-public/io/quarkus/quarkus-core-parent/1.12.2.Final/quarkus-core-parent-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 178 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:14 +0100] "GET /repository/maven-public/io/quarkus/quarkus-build-parent/1.12.2.Final/quarkus-build-parent-1.12.2.Final.pom HTTP/1.1" 200 - 56488 416 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:15 +0100] "GET /repository/maven-public/io/quarkus/quarkus-build-parent/1.12.2.Final/quarkus-build-parent-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 147 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
